Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778618925864
Timestamp end: 1778620726266

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      313.9   206.9    86.8   141.7   155.6   270.8   337.9   379.7   413.7   455.7   509.0   595.4   934.5  2453.9  4334.3  65967.2    66010
read      316.0   238.4    86.8   139.3   152.9   264.4   332.8   376.4   414.4   462.7   524.7   634.1   986.5  2992.6  6337.8  74016.2    73937
read      280.3   131.1    86.8   135.9   149.0   262.5   317.4   348.1   371.7   399.4   434.5   487.9   618.0  1154.1  3006.9  54852.0    55020
read      285.6   123.3    86.8   139.6   152.9   268.8   324.5   356.0   379.3   407.5   444.8   498.3   612.1   909.0  2438.7  53359.2    53235
read      385.7   453.9    86.8   150.1   166.8   281.8   341.7   379.6   410.3   455.4   541.8  1037.5  2646.3  4864.4  8059.7  97684.5    97743
read      246.1   113.9   109.4   174.6   188.8   238.8   257.8   268.5   275.2   286.3   297.5   319.9   379.2  1242.6  6378.0   5434.2     5419
read      267.7   111.8   101.3   163.8   183.3   265.2   290.5   304.4   314.4   326.3   342.2   369.2   430.9   784.4  7281.6  14780.5    14764
read      253.2    90.6   118.1   177.2   192.8   247.0   267.6   278.6   287.7   296.7   311.4   333.2   394.3  1189.4  4074.4   7478.5     7451
read      280.7   127.8    86.8   139.3   152.4   268.1   319.3   347.5   368.7   393.8   425.4   470.6   578.5   931.3  3587.2  48089.8    48208
read      275.1    82.9   101.3   163.4   183.6   273.7   301.4   316.3   327.4   340.4   357.9   384.6   450.4   953.2  2807.5  16267.2    16149
read      299.0   224.0    86.8   140.0   153.4   256.1   316.7   350.9   376.4   410.5   465.2   581.4   919.5  3117.3  6434.1  78815.2    78989
read      273.2    92.7    93.8   161.0   179.6   272.6   299.8   314.4   324.6   337.8   354.1   380.4   446.4   853.3  3903.3  18895.2    18886
read      319.7   302.9    86.8   138.8   152.1   261.8   328.4   372.1   408.3   455.6   515.1   616.5  1137.9  4431.1  8082.9  75895.5    75954
read      287.5   124.2    93.8   143.4   157.3   274.7   326.0   354.5   374.6   399.7   431.6   480.0   589.2  1221.7  3187.8  44355.2    44409
read      272.2   105.5   101.3   162.2   182.2   269.0   296.2   311.7   321.7   335.7   352.1   380.2   449.9  1044.7  3815.6  16366.5    16431
read      325.9   359.8    86.8   141.6   156.1   260.9   320.3   354.7   381.4   418.3   481.8   675.2  1468.7  4621.0 10815.4  85576.8    85707
read      283.4   162.0    86.8   139.4   152.4   263.3   318.1   346.5   368.0   393.4   427.7   485.8   661.4  1815.1  4817.5  58201.0    58253
read      402.3   483.3    86.8   149.8   167.0   282.3   342.2   381.8   416.2   468.7   594.6  1267.6  2799.6  4919.0  8109.8 103871.0   103867
read      284.0    87.9   101.3   163.8   182.1   282.2   313.4   330.4   342.4   357.8   376.0   406.6   482.8   813.8  3076.1  21519.5    21604
read      322.3   292.3    86.8   145.1   160.3   263.5   320.4   354.0   379.3   412.1   465.9   657.0  1570.9  3387.8  7906.6  90288.0    90401
read      277.9   155.8    86.8   142.4   156.3   252.4   307.4   336.9   357.8   381.7   412.8   464.4   690.6  2088.1  3987.6  84330.8    84467
read      276.1   158.1    86.8   140.8   154.6   249.0   302.4   331.4   352.2   376.8   409.4   466.3   717.2  2095.2  3790.2  99815.8    99700
read      277.0    92.6    93.8   150.4   165.2   277.1   314.0   333.4   346.3   363.0   382.9   413.9   484.6   704.4  2329.0  31991.0    32052
read      277.1    81.1   101.3   161.1   179.9   275.7   305.7   321.2   333.6   346.0   365.3   394.3   462.9   819.4  2093.5  18259.5    18173
read      305.9   213.3    93.8   139.8   153.1   266.2   331.3   370.4   401.3   441.0   491.1   571.0   842.0  2812.1  5758.1  67694.0    67789
read      305.3   208.0    93.8   143.8   158.1   277.3   334.1   366.9   392.0   422.9   463.4   533.5   818.1  2556.4  7793.4  51942.2    51929
