Timestamp start: 1778605687891
Timestamp end: 1778607488198

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      270.8   114.5    80.4   140.5   155.0   253.4   306.6   334.6   354.1   376.4   404.3   451.4   569.0   924.0  2869.4  93356.9    93409
read      280.6   104.7    80.4   145.0   160.4   280.7   324.5   345.7   361.1   377.4   399.0   431.3   499.8   622.1  2781.2  39088.7    39093
read      271.5    84.7    93.8   161.2   178.8   273.4   300.8   315.0   324.9   337.2   351.6   373.8   425.1   532.5  2957.9  18733.0    18729
read      289.3   140.2    86.8   140.5   155.2   265.7   325.5   358.0   381.8   411.3   454.0   525.5   693.5   932.9  2430.1  70855.6    70818
read      277.4    91.4    93.8   159.6   177.2   280.2   310.2   325.4   336.6   348.1   365.3   390.0   437.3   545.1  3574.9  21926.9    21942
read      270.0   119.9    86.8   139.8   154.0   251.3   305.6   334.0   353.8   376.1   404.1   450.2   570.3  1085.4  2736.8  91780.4    91810
read      281.8   103.6    86.8   145.6   161.1   281.6   326.1   347.6   363.1   380.1   401.1   433.7   504.2   640.8  2316.2  39610.3    39588
read      281.5   105.0    80.4   144.3   159.6   280.4   326.6   349.0   365.1   383.0   403.8   436.9   507.8   636.8  2174.1  41010.6    40957
read      285.6   133.6    80.4   138.0   152.0   267.1   326.2   357.9   380.9   408.4   445.5   502.2   626.4   843.7  3617.9  62653.9    62645
read      264.5    79.0    93.8   163.6   181.7   265.4   290.0   303.0   312.3   321.9   337.5   360.0   405.3   533.8  2746.4  15467.3    15539
read      299.0   216.1    80.4   147.7   164.1   270.7   322.3   351.1   371.8   397.1   431.1   492.0   744.2  3372.7  6473.8 107738.2   107672
read      281.5    97.7    86.8   149.4   165.2   283.9   322.9   342.2   356.2   371.2   391.5   420.8   480.5   604.7  2529.8  32884.6    32954
read      286.4   126.6    86.8   139.0   153.3   271.4   328.9   359.4   381.2   406.4   440.7   494.8   607.1   814.7  3159.0  58852.2    58866
read      278.3    84.9    93.8   156.8   174.3   281.4   313.0   329.3   340.5   353.8   370.0   395.8   446.9   545.7  2422.6  23680.4    23739
read      283.3   123.9    86.8   138.9   153.1   271.8   327.0   355.7   375.5   399.4   430.0   476.5   577.4   774.2  2975.2  54633.9    54701
read      285.7   126.1    80.4   138.1   152.1   268.8   327.6   358.7   381.2   408.0   444.7   501.0   622.4   824.2  2580.2  60772.5    60706
read      294.3   148.9    86.8   138.6   152.7   266.0   328.3   363.8   391.1   426.0   473.9   551.0   741.0  1065.3  3172.3  72334.7    72350
read      283.1   124.8    80.4   138.0   152.0   268.7   325.7   355.4   376.4   401.6   434.1   486.1   592.6   793.1  3179.4  58636.6    58661
read      283.6   100.6    80.4   148.9   164.2   285.3   326.3   346.2   361.0   376.4   397.3   428.4   495.0   634.8  2703.3  34880.1    34912
read      288.7   171.4    80.4   145.1   161.2   265.2   317.3   345.6   366.6   391.5   424.7   481.2   697.5  2687.9  4588.5 103322.5   103268
read      282.2   105.0    86.8   145.6   161.1   282.1   326.2   347.8   363.4   380.5   401.3   434.0   504.3   636.5  2768.6  38707.3    38703
read      274.0   129.4    80.4   138.3   152.3   252.3   308.7   337.8   358.6   382.6   413.4   466.1   662.5  1164.0  3336.1  83302.8    83358
read      280.6   123.1    86.8   137.9   151.9   267.6   323.4   352.1   372.2   396.5   427.7   475.7   580.8   767.7  3036.1  57463.7    57408
read      273.7   127.6    86.8   139.0   153.2   251.9   307.4   336.7   357.5   381.7   412.8   465.0   661.8  1158.1  2683.2  86945.1    86837
read      286.1   105.6    86.8   152.7   169.3   287.8   327.3   346.3   360.8   375.7   396.2   426.7   493.5   627.7  2982.1  33526.3    33517
read      289.5   137.6    80.4   137.9   151.8   266.7   327.9   361.5   386.7   418.2   460.8   526.8   675.5   937.3  3331.3  66165.1    66204
read      266.7   114.7    86.8   135.8   149.6   250.2   307.3   335.4   354.6   375.7   401.9   443.4   546.6   808.7  3011.7  73820.7    73758
read      274.9   114.6    80.4   141.9   157.1   257.3   309.5   337.6   357.8   381.1   411.0   460.2   591.7   924.1  2708.6  99741.7    99742
read      286.9   124.8    80.4   147.0   163.7   269.4   320.4   348.3   369.0   393.6   426.4   481.3   633.4   999.0  3031.2 109451.5   109462
read      271.9   121.9    86.8   140.4   155.0   253.5   306.8   335.2   355.2   378.2   406.8   454.6   578.7   981.1  3166.9  94543.7    94453
