Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778602009094
Timestamp end: 1778603809399

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      292.8   141.6    86.8   140.4   155.0   272.7   331.4   364.1   388.5   418.2   458.3   520.6   657.1   996.7  3689.7  58018.7    58012
read      290.8   118.0    86.8   144.7   160.1   281.9   334.0   361.7   381.3   403.4   432.8   478.3   577.2   803.0  2791.1  45398.9    45398
read      290.3   125.8    80.4   141.4   155.9   277.1   332.5   362.5   384.3   409.9   443.4   495.4   603.0   831.2  3062.9  50208.4    50177
read      287.2   115.3    86.8   147.4   162.5   282.2   326.8   350.6   367.7   388.0   413.0   452.0   538.9  1003.9  2847.1  34607.9    34504
read      298.9   186.8    86.8   137.4   150.8   264.7   327.6   364.5   393.1   429.2   479.3   558.6   798.6  2219.6  4917.9  65853.9    66010
read      311.9   228.4    86.8   137.9   151.4   262.5   330.3   374.2   412.1   461.8   525.5   626.2   908.8  2878.9  6004.4  73875.9    73937
read      295.4   155.0    86.8   139.3   152.9   274.0   333.4   367.2   392.9   424.0   463.9   524.2   675.6  1572.0  4032.4  55175.2    55020
read      292.0   147.9    86.8   139.5   153.2   273.0   329.8   362.1   386.2   415.0   452.6   507.7   642.7  1523.0  3496.1  53282.4    53235
read      294.7   252.1    86.8   138.9   152.9   249.9   304.9   335.2   357.5   384.3   421.5   497.6  1398.6  3212.5  7287.4  97772.7    97743
read      238.5   124.9   109.4   163.7   177.5   231.9   250.8   261.5   269.2   277.8   291.0   311.9   371.7  1203.3  4958.4   5429.5     5419
read      267.3    99.1    93.8   166.3   184.3   265.6   291.4   305.5   315.2   327.0   342.1   366.8   422.4   842.3  2916.7  14705.7    14764
read      254.5   177.0   109.4   167.1   183.0   245.4   266.6   277.7   286.8   295.9   310.9   334.1   412.9  2107.0  7879.5   7445.5     7451
read      292.7   171.3    86.8   139.6   153.7   274.4   328.8   359.6   382.0   408.3   443.2   498.6   665.7  1777.9  7448.0  48071.5    48208
read      265.7   100.4    93.8   161.5   179.0   264.1   290.4   304.7   314.7   326.5   342.1   367.1   425.5   861.8  3876.1  16160.5    16149
read      268.9   138.1    86.8   136.6   149.8   246.5   303.7   333.0   353.2   376.0   404.7   454.5   609.6  1448.5  3881.7  78937.9    78989
read      275.1   100.9    93.8   161.6   179.1   275.5   303.8   318.1   329.1   341.1   357.7   382.8   442.0  1040.5  3642.0  18916.9    18886
read      265.3   113.4    80.4   136.2   149.8   246.8   303.8   332.5   352.1   373.9   401.3   445.2   557.3   840.6  2337.0  75830.2    75954
read      281.1   111.0    86.8   143.5   158.5   276.9   325.2   349.1   366.2   385.6   408.9   446.3   522.8   664.2  2904.8  44379.9    44409
read      270.6    92.5    93.8   164.1   182.6   271.2   297.0   311.3   320.3   333.1   346.3   370.9   424.6   606.4  3057.4  16432.7    16431
read      265.9   113.7    86.8   138.1   151.7   246.9   302.1   330.7   350.5   373.1   401.4   446.3   558.7   850.5  2477.6  85731.9    85707
read      283.8   135.2    80.4   139.3   153.3   267.3   323.7   354.0   375.7   402.0   436.6   492.0   602.4   805.2  3349.6  58247.8    58253
read      300.7   262.1    86.8   143.7   159.7   260.3   312.8   342.2   364.3   390.9   427.3   496.9  1314.5  3437.5  7637.4 103678.1   103867
read      276.3    92.1    93.8   159.5   176.9   278.6   308.4   323.1   334.6   346.2   363.9   389.1   436.8   563.8  3038.9  21638.7    21604
read      270.8   131.9    86.8   139.1   153.0   248.1   302.5   331.7   352.4   376.2   406.8   460.2   643.9  1190.4  3118.6  90297.1    90401
read      262.6   113.1    86.8   136.9   150.4   244.3   299.2   327.9   347.1   369.6   397.1   437.7   535.8   773.9  2925.3  84551.3    84467
read      268.3   116.0    86.8   140.4   154.8   249.7   301.8   330.0   349.8   372.8   402.1   449.7   568.3   875.2  2371.8  99835.5    99700
read      282.5   101.9    86.8   151.1   167.1   284.4   322.8   342.1   356.0   371.1   391.5   421.1   482.5   616.9  2468.5  32015.7    32052
read      273.9    81.9    93.8   162.5   180.9   275.6   303.2   317.2   327.9   340.0   355.9   378.9   433.4   560.6  2538.5  18191.7    18173
read      288.0   134.5    86.8   138.4   152.2   263.2   323.9   358.6   384.9   417.7   461.4   528.0   675.7   896.5  2942.6  67896.9    67789
read      282.6   124.6    86.8   140.5   155.0   272.2   325.8   353.4   372.7   395.9   425.0   468.5   561.0   738.3  3113.0  51984.4    51929
read      270.2   122.9    86.8   138.5   152.2   249.8   304.6   333.1   353.1   376.0   405.8   458.9   620.1  1035.7  2741.1  83931.5    83850
read      267.5    84.2    93.8   157.3   176.0   267.1   294.4   309.5   319.3   333.0   348.3   374.6   436.2   620.6  3054.7  18620.1    18614
read      278.5    97.8    86.8   150.3   166.4   279.9   315.0   333.4   345.4   361.7   381.0   411.6   480.4   632.2  3104.2  29252.0    29315
read      299.5   203.1    86.8   147.9   164.5   270.9   322.2   351.5   373.0   399.8   436.3   504.1   762.3  3314.1  6191.8 108168.7   108090
read      284.9   106.2    86.8   151.8   169.1   281.7   315.8   334.4   346.8   364.5   386.9   425.3   565.2  1199.8  2558.1  27019.5    27024
read      290.1   130.9    86.8   142.0   157.4   279.4   329.5   356.3   375.1   398.6   429.7   479.7   612.0  1257.7  3424.7  49903.8    49907
read      251.0    93.2    93.8   164.9   182.0   246.5   268.3   280.2   289.4   299.3   314.5   339.0   403.4  1130.2  3793.2   9127.9     9150
read      280.3   101.3    86.8   148.0   163.6   280.9   319.7   339.7   353.8   370.0   391.6   424.2   495.2   663.1  2942.8  34335.9    34328
read      281.8   115.4    80.4   139.8   154.3   272.1   324.0   351.3   370.6   393.9   423.6   468.2   567.2   745.7  2909.0  51940.1    51881
read      266.0    80.7    93.8   163.3   182.8   264.9   290.4   304.3   314.2   325.8   341.7   367.0   423.6   605.6  3032.2  14563.7    14569
read      269.6   120.0    86.8   138.7   152.6   251.3   306.2   334.4   353.9   375.9   403.8   451.6   582.6   912.7  3136.0  81512.8    81517
read      269.5   113.5    86.8   139.1   153.1   253.6   308.0   335.6   354.7   376.0   402.9   447.0   551.7   819.7  2793.5  78706.6    78694
read      271.9   118.7    86.8   141.7   156.6   254.2   306.4   334.4   354.2   376.7   405.3   453.9   574.7   861.0  3066.9  93501.6    93409
read      282.2   104.0    86.8   145.8   161.4   281.4   324.7   346.3   362.3   379.7   401.5   435.2   508.0   647.0  2741.9  39137.1    39093
read      272.7    89.3    93.8   160.3   178.6   273.4   301.6   316.0   326.6   339.4   355.9   380.5   433.8   584.2  3754.3  18704.2    18729
read      292.1   146.8    86.8   138.6   152.7   264.5   325.5   361.1   389.0   424.6   471.8   544.5   715.3   982.5  3089.3  70761.5    70818
read      277.5    88.0    86.8   158.1   176.0   279.9   310.5   326.1   337.5   350.0   367.5   393.9   449.0   576.1  2540.3  21959.6    21942
read      271.2   125.8    80.4   139.5   153.5   249.5   303.6   332.7   353.1   376.6   407.1   459.4   625.8  1257.6  2897.7  91815.6    91810
read      282.0   106.0    86.8   145.5   161.0   280.8   324.9   346.5   362.6   380.2   402.1   436.2   509.6   646.8  3104.6  39597.7    39588
read      281.5   104.3    86.8   144.3   159.7   279.2   325.0   347.5   364.1   382.7   404.5   440.4   518.5   667.2  2637.1  41018.9    40957
read      285.2   131.1    86.8   138.2   152.0   265.6   323.9   356.2   380.0   409.0   448.4   506.6   630.6   837.4  3185.0  62627.1    62645
read      266.7    89.3    93.8   162.7   181.2   266.7   292.4   306.3   315.6   327.2   342.1   366.3   417.2   603.0  3178.5  15562.8    15539
read      304.7   271.6    86.8   144.9   161.2   264.3   317.0   346.5   369.0   396.0   432.9   502.8  1293.2  3625.3  7613.5 107690.0   107672
read      281.1    92.6    86.8   149.9   165.5   283.0   321.6   340.9   354.7   370.3   391.2   422.1   488.2   609.9  2013.9  33011.9    32954
read      286.6   134.3    86.8   139.4   153.7   269.8   326.8   357.7   380.2   406.8   443.0   498.8   614.2   839.3  3743.9  58827.9    58866
read      274.4    83.9    86.8   154.5   171.8   276.9   308.1   323.8   335.7   347.9   366.0   392.3   447.1   566.9  2205.6  23824.0    23739
read      282.8   124.9    86.8   139.3   153.4   270.7   324.4   353.2   373.3   398.0   429.7   478.7   580.4   774.7  3129.0  54814.7    54701
read      286.6   126.5    80.4   139.1   153.2   268.5   326.9   358.7   382.0   409.9   447.2   503.4   626.4   856.3  2565.2  60689.7    60706
read      292.7   149.3    86.8   138.7   152.5   262.2   324.9   361.9   390.8   427.5   477.2   552.6   732.9  1032.2  3498.6  72366.9    72350
read      285.2   130.1    86.8   139.1   153.3   269.3   326.2   356.8   378.9   404.9   440.3   495.9   609.8   800.6  2247.3  58633.1    58661
read      281.4   109.7    86.8   148.3   163.8   282.1   322.5   342.9   357.5   373.1   394.6   426.1   494.0   630.4  2980.5  34925.3    34912
read      284.7   178.8    86.8   143.4   158.8   257.4   309.3   338.3   359.6   384.9   418.6   476.9   744.9  2755.7  4945.3 103373.4   103268
read      284.8   111.8    80.4   149.5   165.3   283.3   327.7   349.5   365.0   382.5   403.2   435.7   506.7   644.2  2946.7  38716.9    38703
read      267.0   116.7    86.8   138.3   152.0   247.6   303.1   332.1   352.0   374.5   402.7   448.6   567.5   910.6  2553.3  83266.7    83358
read      283.2   121.9    86.8   138.9   152.8   268.2   324.5   354.6   376.0   401.9   435.5   489.6   598.3   792.6  2194.9  57511.3    57408
read      272.9   131.9    86.8   138.5   152.4   248.9   304.4   334.2   355.4   380.1   412.4   468.6   688.1  1199.0  3088.0  86834.4    86837
read      278.4    97.6    86.8   148.6   163.9   280.1   318.5   337.8   351.1   367.1   387.3   417.1   481.9   614.5  2767.8  33469.3    33517
read      286.1   134.0    86.8   136.8   150.7   263.5   322.1   355.6   381.1   413.3   457.6   524.7   667.6   865.1  2576.2  66192.3    66204
read      283.8   134.9    86.8   138.5   152.3   257.6   317.2   350.0   374.1   404.0   448.0   522.7   698.0   949.5  2908.3  73712.3    73758
read      270.8   117.8    80.4   141.2   156.0   251.8   303.9   332.2   352.3   375.5   405.0   454.7   580.7   926.5  2532.3  99677.5    99742
read      273.0   119.8    80.4   142.7   158.1   253.9   304.7   332.8   352.9   376.4   407.0   458.7   590.0   923.2  3285.5 109487.1   109462
read      263.9   114.1    80.4   138.5   152.2   245.0   298.1   326.6   346.3   369.5   398.0   441.2   546.3   823.7  2536.7  94447.1    94453

Total QPS = 55321.5 (99578672 / 1800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 24595932231 bytes :   13.0 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.75%,100.00%
