Random waveform, supplied seed
Total number of intervals = 400 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730)
Average QPS expected = 57995
Timestamp start: 1778621207779
Timestamp end: 1778623008168

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      277.4   114.5    93.8   153.3   169.4   276.3   309.9   327.4   340.2   355.4   373.2   401.8   467.7   749.2  4527.6  24197.3    24258
read      290.1   180.2    86.8   134.5   147.2   254.8   317.3   354.3   382.6   418.3   463.9   536.8   833.0  2077.5  4298.6  72057.1    72013
read      275.7   127.7    86.8   135.0   147.7   260.0   315.0   345.0   367.3   394.1   428.2   476.7   579.7   847.8  4313.9  57833.1    58012
read      275.6   126.5    93.8   138.9   151.6   265.1   313.7   340.4   359.7   381.4   408.9   452.2   543.9  1319.0  3219.9  45354.2    45398
read      278.7   140.9    93.8   138.3   151.0   265.9   317.5   345.6   366.5   390.9   422.1   467.1   572.3  1112.6  4860.8  50067.3    50177
read      274.7   122.6    86.8   142.9   156.7   270.0   310.8   332.5   347.2   365.8   388.6   423.2   501.8  1469.9  3567.2  34523.3    34504
read      287.7   151.5    86.8   136.7   149.3   261.0   322.3   358.3   385.4   418.5   461.1   524.1   688.0  1635.3  2953.6  66162.0    66010
read      296.3   186.9    86.8   136.0   149.2   258.2   322.9   363.2   394.9   435.2   487.2   565.8   792.3  2126.4  4064.9  74125.8    73937
read      279.1   142.8    86.8   136.1   148.8   262.9   316.5   346.0   368.7   394.8   428.2   477.2   592.0  1462.7  4241.0  54930.7    55020
read      279.5   131.2    86.8   136.9   149.8   264.2   317.6   347.3   369.9   396.4   429.4   478.1   589.7  1075.6  3754.5  53081.6    53235
read      298.9   258.7    86.8   141.3   155.7   254.9   310.7   341.2   363.9   391.4   430.0   515.0  1191.0  3639.4  7307.2  97725.3    97743
read      235.1    98.4   109.4   168.5   181.5   228.1   245.4   254.6   263.1   271.7   284.8   305.9   370.5  1140.1  4006.8   5399.1     5419
read      256.7    75.7   101.3   160.7   179.4   254.9   278.5   291.6   300.8   312.4   326.2   347.6   404.0   808.3  2267.2  14704.2    14764
read      233.4    88.5   109.4   165.3   179.7   228.8   246.7   256.2   264.2   272.3   284.9   303.8   351.5   964.9  4021.7   7401.8     7451
read      275.8   138.2    93.8   138.5   151.0   263.9   314.0   341.2   361.4   384.8   413.9   457.6   548.5   994.2  4506.3  48200.4    48208
read      258.3    99.6   101.3   157.3   175.0   257.1   281.9   295.1   305.6   317.1   333.1   356.7   411.3   674.2  4377.0  16110.2    16149
read      296.4   184.3    86.8   136.8   149.8   255.1   319.5   360.4   393.3   435.9   491.6   575.6   807.5  2125.8  4305.2  78895.6    78989
read      262.7    77.6    93.8   154.4   171.5   263.2   290.7   305.5   315.7   328.1   343.4   368.3   423.8   607.1  2020.8  18956.4    18886
read      321.6   260.6    86.8   142.7   157.0   267.3   332.7   375.9   413.2   462.7   529.8   651.7  1018.8  3680.7  7794.4  75916.7    75954
read      288.9   124.0    93.8   143.4   157.1   276.0   328.1   357.2   378.1   402.8   435.5   484.1   590.4  1108.1  2704.5  44382.9    44409
read      274.8    78.5   101.3   163.7   182.9   273.5   302.0   317.2   328.8   341.8   359.6   385.9   446.6   588.7  2158.6  16678.4    16431
read      292.7   213.8    86.8   141.4   155.5   254.1   311.3   342.4   365.9   394.6   434.9   532.2   917.9  2774.5  7168.5  85697.1    85707
read      292.0   176.3    86.8   141.2   154.5   267.7   326.4   359.3   384.1   414.7   455.7   519.6   695.9  1430.5  3680.1  58493.1    58253
read      314.4   274.0    86.8   145.4   161.1   263.4   317.3   348.5   372.2   402.7   449.1   568.5  1453.9  3386.3  7421.4 104099.3   103867
read      281.7    84.7    93.8   159.2   176.5   280.1   312.7   330.2   342.4   358.1   376.6   407.9   483.9   908.8  1628.3  21635.8    21604
read      294.2   229.8    86.8   142.1   156.2   254.8   310.3   340.8   363.3   390.3   427.5   506.8  1057.0  3099.3  7341.0  90432.7    90401
read      269.4   123.5    86.8   141.1   154.4   248.9   303.8   332.8   352.9   375.4   403.8   449.6   571.5  1236.5  2306.4  84586.2    84467
